State,Rank,Name,City,Zip,URL,Latitude,Longitude,ADMrate,Ownership,Citytype,SAT,AvgCost,Major_agriculture,Major_NatureResource,Major_Architecture,Major_CS,Major_Edu,Major_Engineering,Major_Bio,Major_MathStat,Major_Psychology,Major_SocialScience,Major_Business,Major_History,Earn,CrimeRate,HappyRank,HappyScore,ACT,Enrollment,FBI.TotalCrime,FBI.CrimeRate,Application.Deadline
NY,39,Colgate University,Hamilton,13346-1398,www.colgate.edu,42.8188,-75.535,0.2624,Private nonprofit,Town,1369,60050,0,1,0,1,1,0,1,1,1,1,0,1,62600,381.8,26,52.54,31,2865,5090,8.33,15-Jan-19
OH,40,Oberlin College,Oberlin,44074,www.oberlin.edu,41.29474,-82.221786,0.3272,Private nonprofit,Town,1349,62051,0,1,0,1,0,1,1,1,1,1,0,1,35400,284.9,39,46.04,30,2961,504,6.14,15-Jan-19
MI,41,University of Michigan-Ann Arbor,Ann Arbor,48109,www.umich.edu,42.276061,-83.743121,0.3224,Public,City,1380,26143,0,1,1,1,1,1,1,1,1,1,1,1,65800,427.3,43,44.17,31,28217,5184,4.37,1-Feb-19
TN,42,Vanderbilt University,Nashville,37240,www.vanderbilt.edu,36.14443,-86.804875,0.1309,Private nonprofit,City,1481,61112,0,0,0,1,1,1,1,1,1,1,0,1,69700,608.4,45,39.96,33,6818,64576,9.81,1-Jan-19
CA,43,University of California-Los Angeles,Los Angeles,90095-1405,www.ucla.edu/,34.068892,-118.443901,0.1856,Public,City,1330,32074,0,1,1,1,0,1,1,1,1,1,1,1,58800,396.1,10,59.96,30,29627,237318,5.99,30-Nov-18
NC,44,University of North Carolina at Chapel Hill,Chapel Hill,27599,www.unc.edu,35.912165,-79.050969,0.285,Public,City,1328,23978,0,1,0,1,1,0,1,1,1,1,1,1,58200,329.5,30,52.16,30,17908,25526,9.9,10-Jan-19
OH,45,Kenyon College,Gambier,43022,www.kenyon.edu/,40.374408,-82.397977,0.2506,Private nonprofit,Town,1332,59960,0,0,0,0,0,0,1,1,1,1,0,1,38300,284.9,39,46.04,30,1651,75968,8.96,15-Jan-19
PA,46,Bucknell University,Lewisburg,17837,www.bucknell.edu,40.954489,-76.886275,0.3072,Private nonprofit,Town,1317,61060,0,1,0,1,1,1,1,1,1,1,1,1,63800,314.1,34,49.98,30,3528,176,5.47,15-Jan-19
NY,47,Hamilton College,Clinton,13323,www.hamilton.edu,43.047809,-75.408853,0.2635,Private nonprofit,Rural,1393,59590,0,1,0,1,0,0,1,1,1,1,0,1,57900,381.8,26,52.54,32,1890,5090,8.33,1-Jan-19
MA,48,College of the Holy Cross,Worcester,01610-2395,www.holycross.edu,42.238942,-71.808627,0.4334,Private nonprofit,City,NULL,57754,0,0,0,0,0,0,1,1,1,1,0,1,67600,391.4,16,57.42,NULL,2754,14004,7.64,15-Jan-19
